Reference	ID	Tags	SupportReference	Quote	GLQuote	Occurrence	Note
15:26	z51r			τί ἂν εἴη ταῦτα	what these things might be	1	Alternate translation: “what was happening”
15:27	m030		rc://*/ta/man/translate/figs-quotesinquotes	ὁ δὲ εἶπεν αὐτῷ, ὅτι ὁ ἀδελφός σου ἥκει, καὶ ἔθυσεν ὁ πατήρ σου τὸν μόσχον τὸν σιτευτόν, ὅτι ὑγιαίνοντα αὐτὸν ἀπέλαβεν	And he said to him, ‘Your brother has come and your father has killed the fattened calf because he has received him back in good health	1	If it would be helpful in your language, you could translate this so that there is not a quotation within a quotation. Alternate translation: “The servant told him that his brother had come home and that his father had killed the fattened calf because he had received him back in good health”
15:27	m031		rc://*/ta/man/translate/figs-metonymy	ἔθυσεν ὁ πατήρ σου τὸν μόσχον τὸν σιτευτόν	your father has killed the fattened calf	1	The father did not do this personally. Alternate translation: “your father ordered us to butcher and cook the fattened calf”
15:27	m032		rc://*/ta/man/translate/figs-metonymy	ἔθυσεν ὁ πατήρ σου τὸν μόσχον τὸν σιτευτόν	your father has killed the fattened calf	1	The implication, as the father says explicitly in [15:23](../15/23.md), was that this was in order to have a celebration. If it would be helpful to your readers, you could state that explicitly. Alternate translation: “your father ordered us to butcher and cook the fattened calf so we could have a celebration”
15:27	r8py		rc://*/ta/man/translate/translate-unknown	τὸν μόσχον τὸν σιτευτόν	the fattened calf	1	See how you translated this term in [15:23](../15/23.md). Alternate translation: “the young animal we had been making fat”
15:27	m033			ὅτι ὑγιαίνοντα αὐτὸν ἀπέλαβεν	because he has received him back in good health	1	Alternate translation: “because his son has come home safely”
15:28	m034		rc://*/ta/man/translate/grammar-connect-logic-result	ὁ δὲ πατὴρ αὐτοῦ ἐξελθὼν, παρεκάλει αὐτόν	and his father came out {and} entreated him	1	Here Jesus uses the term **and** to introduce the results of what the previous sentence described. Alternate translation: “so his father came outside and pleaded with him”
15:29	m035		rc://*/ta/man/translate/figs-quotesinquotes	ὁ δὲ ἀποκριθεὶς εἶπεν τῷ πατρὶ αὐτοῦ, ἰδοὺ, τοσαῦτα ἔτη δουλεύω σοι, καὶ οὐδέποτε ἐντολήν σου παρῆλθον, καὶ ἐμοὶ οὐδέποτε ἔδωκας ἔριφον, ἵνα μετὰ τῶν φίλων μου εὐφρανθῶ	But answering, he said to his father, ‘Behold, for so many years I am slaving for you, and I have never disregarded your command, and you never gave a young goat to me so that I might celebrate with my friends	1	If it would be helpful in your language, you could translate this so that there is not a quotation within a quotation. Alternate translation: “But he responded to his father that even though he had been slaving for him for so many years and had never disobeyed one of his commands, his father had never given him a young goat so that he could celebrate with his friends”
15:29	m036		rc://*/ta/man/translate/figs-hendiadys	ὁ & ἀποκριθεὶς εἶπεν	answering, he said	1	Together the words **answering** and **said** mean that the older son said what follows in response to his father’s pleadings. Alternate translation: “he responded”
15:29	m037		rc://*/ta/man/translate/figs-metaphor	ἰδοὺ	Behold	1	The older son uses **Behold** to get his father to focus his attention on what he is about to say. Alternate translation: “Now listen”
15:29	f8w9		rc://*/ta/man/translate/figs-metaphor	δουλεύω σοι	I am slaving for you	1	To emphasize how hard he believes he has worked for his father, the older son describes himself as a slave. You could translate this metaphor as a simile. Alternate translation: “I have been working like a slave for you”
15:29	m038		rc://*/ta/man/translate/figs-doublenegatives	οὐδέποτε ἐντολήν σου παρῆλθον	I have never disregarded your command	1	If it would be helpful in your language, you could translate this double negative as a positive statement. Alternate translation: “I have always done what you told me to do”
15:29	d2t6		rc://*/ta/man/translate/figs-hyperbole	οὐδέποτε ἐντολήν σου παρῆλθον	I have never disregarded your command	1	To emphasize how carefully he believes he has obeyed his father, the older son makes a figurative generalization and says **never**. Alternate translation: “I have not disobeyed your commands” or “I have done what you told me to do”
15:29	ph4q		rc://*/ta/man/translate/figs-explicit	ἔριφον	a young goat	1	A young goat was smaller and much less expensive than a fatted calf. The son’s implication is that his father has not done even a small thing to show appreciation for him. You could express that more explicitly in your translation. Alternate translation: “even a young goat”
15:30	m039		rc://*/ta/man/translate/figs-quotesinquotes	ὅτε δὲ ὁ υἱός σου οὗτος, ὁ καταφαγών σου τὸν βίον μετὰ πορνῶν ἦλθεν, ἔθυσας αὐτῷ τὸν σιτευτὸν μόσχον	but when this son of yours came, the one having devoured your livelihood with prostitutes, you killed for him the fattened calf	1	If it would be helpful in your language, you could translate this so that there is not a quotation within a quotation. Alternate translation (continuing the sentence from the previous verse, if you translated it as an indirect quotation): “but that when this son of his came home, who had wasted his money on prostitutes, he killed the fattened calf for him”
15:30	y27h			ὁ υἱός σου οὗτος	this son of yours	1	The older son refers to his brother as **this son of yours** because he does not want to be associated with him. He does not want to call him “my brother.” Alternate translation: “that other son of yours”
15:30	vip3		rc://*/ta/man/translate/figs-metaphor	ὁ καταφαγών σου τὸν βίον	the one having devoured your livelihood	1	The older son describes his brother as having eaten up the wealth his father gave him, to the point where there is nothing left. Alternate translation: “who squandered your wealth”
15:30	e6ig		rc://*/ta/man/translate/figs-synecdoche	μετὰ πορνῶν	with prostitutes	1	In order to depict how the younger son wasted his father’s money on reckless living, the older son speaks of one thing he assumes the younger son spent money on. Alternate translation: “living recklessly”
15:30	m040		rc://*/ta/man/translate/figs-metonymy	ἔθυσας αὐτῷ τὸν σιτευτὸν μόσχον	you killed for him the fattened calf	1	The father did not do this personally. Alternate translation: “you told the servants to butcher and cook the fattened calf”
15:30	m041		rc://*/ta/man/translate/figs-explicit	ἔθυσας αὐτῷ τὸν σιτευτὸν μόσχον	you killed for him the fattened calf	1	If it would be helpful to your readers, you could state explicitly the implicit purpose for this action. Alternate translation: “you told the servants to butcher and cook the fattened calf so you could hold a celebration for him”
15:30	vf31		rc://*/ta/man/translate/translate-unknown	τὸν σιτευτὸν μόσχον	the fattened calf	1	See how you translated this term in [15:23](../15/23.md). Alternate translation: “the young animal we had been making fat”
15:31	b5s3		rc://*/ta/man/translate/figs-quotesinquotes	ὁ δὲ εἶπεν αὐτῷ, τέκνον, σὺ πάντοτε μετ’ ἐμοῦ εἶ, καὶ πάντα τὰ ἐμὰ σά ἐστιν	But he said to him, ‘Child, you are always with me, and all {that is} mine is yours	1	If it would be helpful in your language, you could translate this so that there is not a quotation within a quotation. Alternate translation: “But his father called him his dear son and acknowledged his loyal service and reminded him that now he was heir to the entire remaining estate”
15:31	m042			τέκνον	Child	1	The father is using the word **Child** as a term of affection. Alternate translation: “My dear son”
15:31	m043			σὺ πάντοτε μετ’ ἐμοῦ εἶ	you are always with me	1	Alternate translation: “I appreciate the way you have stayed here and helped me”
15:32	m044		rc://*/ta/man/translate/figs-quotesinquotes	εὐφρανθῆναι δὲ καὶ χαρῆναι ἔδει, ὅτι ὁ ἀδελφός σου οὗτος, νεκρὸς ἦν καὶ ἔζησεν, καὶ ἀπολωλὼς καὶ εὑρέθη	But it was proper to celebrate and to rejoice, for this brother of yours was dead, and lived, and he had been lost, and was found	1	If it would be helpful in your language, you could translate this so that there is not a quotation within a quotation. Alternate translation: “But he insisted that it was right to have a celebration for his brother, since it was as if he had died and come back to life, and as if he had been lost and had been found”
15:32	m045		rc://*/ta/man/translate/figs-hendiadys	εὐφρανθῆναι & καὶ χαρῆναι	to celebrate and to rejoice	1	The phrase **celebrate and rejoice** expresses a single idea emphatically by using two similar words connected with **and**. Alternate translation: “celebrate joyfully”
15:32	c35s			ὁ ἀδελφός σου οὗτος	this brother of yours	1	The older son had referred to “this son of yours,” but the father wants him to recognize him as his **brother**. Alternate translation: “your very own brother”
15:32	due5		rc://*/ta/man/translate/figs-metaphor	ὁ ἀδελφός σου οὗτος, νεκρὸς ἦν καὶ ἔζησεν	this brother of yours was dead, and lived	1	See how you translated this figurative expression in [15:24](../15/24.md). Alternate translation: “it is as if your very own brother had died and come back to life”
15:32	v55y		rc://*/ta/man/translate/figs-metaphor	ἀπολωλὼς καὶ εὑρέθη	he had been lost, and was found	1	See how you translated this figurative expression in [15:24](../15/24.md). Alternate translation: “it is as if he had been missing and we found him again”
15:32	m046		rc://*/ta/man/translate/figs-activepassive	καὶ εὑρέθη	and was found	1	If it would be helpful in your language, you could express this with an active form, and you could state who did the action. Alternate translation: “we found him again”
16:intro	qz3g					0	# Luke 16 General Notes\n\n## Structure and Formatting\n\n1. Jesus tells a parable about a household manager (16:1–15)\n2. Jesus gives further teachings (16:16–18)\n3. Jesus tells a parable about a rich man who died (16:19–31)
16:1	m047		rc://*/ta/man/translate/grammar-connect-time-background	δὲ	And	1	Luke uses the word **And** to introduce background information that will help readers understand what Jesus teaches next. Alternate translation: “Now”
16:1	p54g		rc://*/ta/man/translate/writing-participants	ἔλεγεν & καὶ πρὸς τοὺς μαθητάς	he also said to the disciples	1	Luke uses this phrase to reintroduce these characters into the story. Jesus directed the previous three parables to the Pharisees and scribes, although **the disciples**may have been part of the crowd that was listening. He directs this next parable to **the disciples**. Alternate translation: “Jesus then said to his disciples, who were there”
16:1	r6ck		rc://*/ta/man/translate/figs-parables	ἔλεγεν δὲ καὶ πρὸς τοὺς μαθητάς	And he also said to the disciples	1	One theme of the story of the two sons was the use of possessions. To help his disciples understand something further about that, Jesus tells them a brief story that provides an illustration. It may be helpful to make this a separate sentence. Alternate translation: “Jesus then told his disciples an illustrative story”
16:1	k6jv		rc://*/ta/man/translate/writing-participants	ἄνθρωπός τις ἦν πλούσιος, ὃς εἶχεν οἰκονόμον	There was a certain rich man who had a manager	1	This introduces the main characters in the parable. Alternate translation: “There once was a rich man who employed a manager”
16:1	blp5		rc://*/ta/man/translate/figs-activepassive	οὗτος διεβλήθη αὐτῷ ὡς	he was reported to him as	1	If it would be helpful in your language, you could express this with an active form, and you could state who did the action. Alternate translation: “people reported to the rich man that his manager was”
16:1	lpc3			διασκορπίζων τὰ ὑπάρχοντα αὐτοῦ	wasting his possessions	1	Alternate translation: “managing his wealth badly”
16:2	m049		rc://*/ta/man/translate/grammar-connect-logic-result	καὶ	And	1	Jesus uses the word **And** to introduce the results of what the previous sentence described. Alternate translation (as in UST): “So”
16:2	abci		rc://*/ta/man/translate/writing-pronouns	φωνήσας αὐτὸν	having called him	1	The pronoun **he** refers to the rich man, and **him** refers to the manager. Alternate translation: “the rich man called the manager”
16:2	m050		rc://*/ta/man/translate/figs-quotesinquotes	εἶπεν αὐτῷ, τί τοῦτο ἀκούω περὶ σοῦ? ἀπόδος τὸν λόγον τῆς οἰκονομίας σου; οὐ γὰρ δύνῃ ἔτι οἰκονομεῖν	he said to him, ‘What {is} this I hear about you? Give a report of your management, for you are no longer able to manage	1	If it would be helpful in your language, you could translate this so that there is not a quotation within a quotation. Alternate translation: “told him that he had been hearing bad things about him and that he needed to turn over his financial records, since he would not be the manager any more”
16:2	p7y7		rc://*/ta/man/translate/figs-rquestion	τί τοῦτο ἀκούω περὶ σοῦ?	What {is} this I hear about you	1	The rich man is not looking for information. He is using the question form to scold the manager. If it would be helpful in your language, you could translate this as an exclamation. Alternate translation: “I have heard what you are doing!”
16:2	q433			ἀπόδος τὸν λόγον τῆς οἰκονομίας σου	Give a report of your management	1	Alternate translation: “Turn over your financial records” or “Set your records in order to pass on to someone else”
16:2	m051			οὐ γὰρ δύνῃ ἔτι οἰκονομεῖν	for you are no longer able to manage	1	Alternate translation: “since you cannot be my financial manager any longer”
16:3	m052		rc://*/ta/man/translate/figs-quotesinquotes	εἶπεν & ἐν ἑαυτῷ & τί ποιήσω, ὅτι ὁ κύριός μου ἀφαιρεῖται τὴν οἰκονομίαν ἀπ’ ἐμοῦ? σκάπτειν οὐκ ἰσχύω; ἐπαιτεῖν αἰσχύνομαι	said to himself, ‘What should I do, since my master is taking away the management from me? I am not strong to dig. I am ashamed to beg	1	If it would be helpful in your language, you could translate this so that there is not a quotation within a quotation. Alternate translation: “asked himself what he should do, since his master was taking the management job away from him. He realized that he was not strong enough to dig ditches, and that he would be ashamed to beg for money”
16:3	kng1		rc://*/ta/man/translate/figs-explicit	ὁ κύριός μου	my master	1	The expression **my master** refers to the rich man. The manager was not a slave, although he was financially dependent on the rich man for his housing, food, etc. Alternate translation: “my employer”
16:3	t3kj		rc://*/ta/man/translate/figs-synecdoche	σκάπτειν οὐκ ἰσχύω	I am not strong to dig	1	The manager is saying that he is not strong enough to work all day digging ditches in the ground. He is likely using this one kind of manual work to represent all work that would require sustained physical exertion. Alternate translation: “I am not strong enough to do manual labor”
16:4	m053		rc://*/ta/man/translate/figs-quotesinquotes	ἔγνων τί ποιήσω, ἵνα ὅταν μετασταθῶ ἐκ τῆς οἰκονομίας, δέξωνταί με εἰς τοὺς οἴκους αὐτῶν	I know what I will do, so that when I am removed from the management, they will welcome me into their houses	1	If it would be helpful in your language, you could translate this so that there is not a quotation within a quotation. Alternate translation: “He realized that there was something he could do so that when his master took away his management job, his master’s debtors would welcome him into their houses”
16:4	xxe2		rc://*/ta/man/translate/figs-activepassive	ὅταν μετασταθῶ ἐκ τῆς οἰκονομίας	when I am removed from the management	1	If it would be helpful in your language, you could express this with an active form, and you could state who will do the action. Alternate translation: “when my master takes away my management job”
16:4	m054		rc://*/ta/man/translate/writing-pronouns	δέξωνταί με εἰς τοὺς οἴκους αὐτῶν	they will welcome me into their houses	1	By **they**, the manager means his master’s debtors, as the next verse indicates explicitly. Alternate translation: “my master’s debtors will welcome me into their houses”
16:4	m4za		rc://*/ta/man/translate/figs-metonymy	δέξωνταί με εἰς τοὺς οἴκους αὐτῶν	they will welcome me into their houses	1	The expression **welcome me into their houses** likely refers to providing food and lodging, and perhaps other necessities, for some period of time in acknowledgment of a previous favor. The manager speaks of this by reference to where it would happen. Alternate translation: “my master’s debtors will provide for my needs”
16:5	rze8			τῶν χρεοφιλετῶν τοῦ κυρίου ἑαυτοῦ	of the debtors of his master	1	Alternate translation: “of the people who were in debt to his master” or “of the people who owed things to his master”
16:5	m055		rc://*/ta/man/translate/figs-nominaladj	τῷ πρώτῳ	to the first one	1	Jesus is using the adjective **first** as a noun. Your language may use adjectives in the same way. If not, you could translate the term with an equivalent expression. Alternate translation: “to the first of the debtors”
16:5	m056		rc://*/ta/man/translate/figs-quotesinquotes	ἔλεγεν τῷ πρώτῳ, πόσον ὀφείλεις τῷ κυρίῳ μου?	he said to the first one, ‘How much do you owe to my master	1	If it would be helpful in your language, you could translate this so that there is not a quotation within a quotation. Alternate translation: “he asked the first of the debtors how much he owed his master”
16:6	xp6d		rc://*/ta/man/translate/figs-quotesinquotes	ὁ δὲ εἶπεν, ἑκατὸν βάτους ἐλαίου	And he said, ‘100 baths of olive oil	1	If it would be helpful in your language, you could translate this so that there is not a quotation within a quotation. Alternate translation: “This first debtor told the manager that he owed 100 baths of olive oil”
16:6	u8nh		rc://*/ta/man/translate/translate-bvolume	ἑκατὸν βάτους	100 baths	1	The word **baths** is the plural of “bath,” an ancient measurement equal to about 30 liters or about 8 gallons. If it would be helpful in your language, you could use the equivalent modern measurement in your translation. Alternate translation: “3,000 liters” or “800 gallons”
16:6	m057		rc://*/ta/man/translate/figs-quotesinquotes	ὁ δὲ εἶπεν αὐτῷ, δέξαι σου τὰ γράμματα καὶ καθίσας ταχέως γράψον πεντήκοντα	Then he said to him, ‘Take your bill and, sitting down, quickly write 50	1	If it would be helpful in your language, you could translate this so that there is not a quotation within a quotation. Alternate translation: “So the manager told him to take his bill and sit down and quickly change that to 50 baths”
16:6	m058		rc://*/ta/man/translate/translate-unknown	σου τὰ γράμματα	your bill	1	A **bill** is a piece of paper that tells how much someone owes. Your language may have a specific term for this. Alternate translation: “your statement” or “your note”
16:6	m059		rc://*/ta/man/translate/translate-bvolume	πεντήκοντα	50	1	If it would be helpful in your language, you could use the equivalent modern measurement in your translation. Alternate translation: “1,500 liters” or “400 gallons”
16:7	sy3y		rc://*/ta/man/translate/figs-quotesinquotes	ἔπειτα ἑτέρῳ εἶπεν, σὺ δὲ πόσον ὀφείλεις?	Then to another he said, ‘And you, how much do you owe	1	If it would be helpful in your language, you could translate this so that there is not a quotation within a quotation. Alternate translation: “Then the manager asked another debtor how much he owed”
16:7	pq2u		rc://*/ta/man/translate/translate-bvolume	ἑκατὸν κόρους	100 cors	1	The word **cors** is the plural of “cor,” an ancient measurement equal to about one fifth of a metric ton or about ten bushels. If it would be helpful in your language, you could use the equivalent modern measurement in your translation. You could also use a general term, as UST does. Alternate translation: “20 tons” (metric tons) or “1,000 bushels”
16:7	m060		rc://*/ta/man/translate/figs-quotesinquotes	ὁ δὲ εἶπεν, ἑκατὸν κόρους σίτου. λέγει αὐτῷ, δέξαι σου τὰ γράμματα καὶ γράψον ὀγδοήκοντα		1	If it would be helpful in your language, you could translate this so that there is not a quotation within a quotation. Alternate translation: “He told the manager that he owed 100 cors of wheat. The manager told him to take his bill and change that to 80 cors”
16:7	m061			λέγει αὐτῷ	He says to him	1	To convey vividness and immediacy, the parable uses the present tense in past narration here. See how you decided to approach this usage in [7:40](../07/40.md). If it would not be natural to use the present tense in your language, you could use the past tense in your translation. Alternate translation: “He said to him”
16:7	m062		rc://*/ta/man/translate/translate-unknown	σου τὰ γράμματα	your bill	1	See how you translated **your bill** in [16:6](../16/06.md). Alternate translation: “your statement” or “your note”
16:7	tn17		rc://*/ta/man/translate/translate-bvolume	ὀγδοήκοντα	80	1	If it would be helpful in your language, you could use an equivalent modern measurement in your translation. Alternate translation: “16 tons” or “800 bushels”
16:8	nfz3			φρονίμως ἐποίησεν	he had acted shrewdly	1	Alternate translation: “he had looked out for himself” or “he had planned for the future”
16:8	a1yq		rc://*/ta/man/translate/figs-idiom	οἱ υἱοὶ τοῦ αἰῶνος τούτου	the sons of this age	1	The expression **sons of** is an idiom that means the people in view share the qualities of something. In this case, Jesus is describing people who share the values and outlook of the present world. Alternate translation: “the people of this present world”
16:8	m063		rc://*/ta/man/translate/figs-metonymy	τοῦ αἰῶνος τούτου	of this age	1	The term **age** means specifically the long period of time defined by the duration of the created world and, by association, the world itself. Alternate translation: “of this present world”
16:8	lvx7		rc://*/ta/man/translate/figs-metaphor	τοὺς υἱοὺς τοῦ φωτὸς	the sons of the light	1	The expression **sons of** is once again an idiom that means the people in view share the qualities of something, in this case the influence of God. Alternate translation: “the people of God” or “godly people”
16:8	m064		rc://*/ta/man/translate/figs-metaphor	τοὺς υἱοὺς τοῦ φωτὸς	the sons of the light	1	The term **light** is a metaphor for the presence and influence of God in the world. Alternate translation: “the people of God” or “godly people”
16:8	m065		rc://*/ta/man/translate/figs-metaphor	εἰς τὴν γενεὰν τὴν ἑαυτῶν	in their own generation	1	Jesus speaks of **the sons of this age** as if they had all been born in the same **generation**. Alternate translation: “in relation to their own kind”
16:9	agp3		rc://*/ta/man/translate/writing-endofstory	καὶ ἐγὼ ὑμῖν λέγω	And I say to you	1	Jesus uses the phrase **I say to you** to mark the end of the story and to introduce a teaching about how his disciples can apply the story to their lives. It may be helpful to make this a separate sentence. Alternate translation: “And you should do something similar”
16:9	jkn7			ἑαυτοῖς ποιήσατε φίλους ἐκ τοῦ μαμωνᾶ τῆς ἀδικίας, ἵνα ὅταν ἐκλίπῃ, δέξωνται ὑμᾶς εἰς τὰς αἰωνίους σκηνάς	make friends for yourselves by means of unrighteous wealth, so that when it fails, they may welcome you into the eternal dwellings	1	The identity of these **friends** is unclear. Interpreters understand them in a variety of ways. It is also unclear whether it is these **friends** who would **welcome** someone into the **eternal dwellings** or whether the expression is indefinite, equivalent to “you will be welcomed into the eternal dwellings.” Because the meaning is unclear and it is interpreted in such a variety of ways, it might be best if your translation did not say any more about this than ULT does.
16:9	q2jb		rc://*/ta/man/translate/figs-metonymy	τοῦ μαμωνᾶ τῆς ἀδικίας	unrighteous wealth	1	Here, the term **unrighteous** is an echo of the previous verse, in which Jesus described the manager by the same term. It likely refers to the various shrewd means by which the people of this world make money. Jesus is applying it by association to money itself. Alternate translation: “the money you have in this world”
16:9	m066			ὅταν ἐκλίπῃ	when it fails	1	Alternate translation: “when it is gone” or “when it no longer has any value”
16:10	we3j			ὁ πιστὸς ἐν ἐλαχίστῳ	The one {who is} faithful in very little	1	Be sure that this does not sound as if it is describing a person who is not very faithful. Alternate translation: “Someone who is trustworthy even in very small matters”
16:10	r8hz			ὁ ἐν ἐλαχίστῳ ἄδικος	the one {who is} unrighteous in very little	1	Be sure that this does not sound as if it is describing a person who is only infrequently unrighteous. Alternate translation: “someone who is not trustworthy even in very small matters”
16:11	tm3w		rc://*/ta/man/translate/figs-metonymy	τῷ ἀδίκῳ μαμωνᾷ	unrighteous wealth	1	See how you translated this term in [16:9](../16/09.md). Alternate translation: “with the money that you have in this world”
16:11	cv6s		rc://*/ta/man/translate/figs-rquestion	τὸ ἀληθινὸν τίς ὑμῖν πιστεύσει?	who will entrust the true to you	1	Jesus is using the question form as a teaching tool. If it would be helpful in your language, you could translate his words as a statement. Alternate translation: “no one will trust you with genuine wealth.”
16:11	x2hr		rc://*/ta/man/translate/figs-nominaladj	τὸ ἀληθινὸν	the true	1	Jesus is using the adjective **true** as a noun to mean wealth that is more genuine, real, or lasting than money. Your language may use adjectives in the same way. If not, you could translate the term with an equivalent expression. Alternate translation: “genuine wealth”
16:12	uy96		rc://*/ta/man/translate/figs-rquestion	τὸ ὑμέτερον τίς ὑμῖν δώσει?	who will give to you {what is} your own	1	Jesus is using the question form as a teaching tool. If it would be helpful in your language, you could translate his words as a statement. Alternate translation: “no one will give you property of your own.”
16:13	w2sf			οὐδεὶς οἰκέτης δύναται δυσὶ κυρίοις δουλεύειν	No servant is able to serve two masters	1	If it would be helpful in your language, you could make the subject positive and the verb negative in this expression. Alternate translation: “A servant cannot serve two masters”
16:13	msb6		rc://*/ta/man/translate/figs-explicit	δυσὶ κυρίοις	two masters	1	The implication is that a servant could not meet the competing demands of two different masters at the same time with equal loyalty. Alternate translation: “two different masters equally well at the same time”
16:13	u1lk		rc://*/ta/man/translate/figs-parallelism	ἢ γὰρ τὸν ἕνα μισήσει, καὶ τὸν ἕτερον ἀγαπήσει; ἢ ἑνὸς ἀνθέξεται, καὶ τοῦ ἑτέρου καταφρονήσει	for either he will hate the one and will love the other, or else he will be devoted to one and will despise the other	1	Jesus is basically saying the same thing in two different ways. If it would be helpful in your language, you could combine these statements. Alternate translation: “for he is certain to love and serve one of them much better than the other”
16:13	ba2m			ἑνὸς ἀνθέξεται	he will be devoted to one	1	Alternate translation: “he will love the first master very strongly”
16:13	dd9z			τοῦ ἑτέρου καταφρονήσει	will despise the other	1	Alternate translation: “will hold the second master in contempt” or “will hate the second master”
16:13	pw7q		rc://*/ta/man/translate/figs-you	οὐ δύνασθε & δουλεύειν	You are not able to serve	1	Even though Jesus has been describing the situation of an individual servant, as he draws this application, he is addressing his disciples as a group, so **you** is plural.
16:14	taq3		rc://*/ta/man/translate/grammar-connect-time-background	δὲ	And	1	Luke uses the word **And** to introduce background information that will help readers understand what happens next. Alternate translation: “Now”
16:14	m067		rc://*/ta/man/translate/writing-participants	οἱ Φαρισαῖοι	the Pharisees	1	Here Luke reintroduces **the Pharisees** as participants in the story, but they have been present all along. Jesus told them the three parables in [15:3–32](../15/03.md), and they have since been listening to what Jesus has been teaching his disciples. Alternate translation: “the Pharisees who were present”
16:14	lbq9			φιλάργυροι ὑπάρχοντες	being lovers of money	1	Alternate translation: “who loved having money” or “who were very greedy for money”
16:15	zcqs			ὑμεῖς ἐστε οἱ δικαιοῦντες ἑαυτοὺς	You are the ones justifying yourselves	1	Alternate translation: “You are people who try to make yourselves look good”
16:15	m068		rc://*/ta/man/translate/figs-metaphor	ἐνώπιον τῶν ἀνθρώπων	before men	1	Jesus is using this expression to mean “where people can see,” and it refers to perception and judgment. Alternate translation: “from the perspective of others”
16:15	m069		rc://*/ta/man/translate/figs-gendernotations	ἀνθρώπων	men	1	Here Jesus is using the term **men** in a generic sense that includes all people. Alternate translation: “people” or “others”
16:15	lx4f		rc://*/ta/man/translate/figs-metaphor	ὁ δὲ Θεὸς γινώσκει τὰς καρδίας ὑμῶν	but God knows your hearts	1	Here, **hearts** represent people’s motivations and desires. Alternate translation: “God understands your true desires” or “God knows your real motives”
16:15	q82t		rc://*/ta/man/translate/figs-metaphor	τὸ ἐν ἀνθρώποις ὑψηλὸν	what is} exalted among men	1	Jesus is using a spatial metaphor to describe things that are valued or honored as if they were high up. Alternate translation: “what people value” or “what people respect”
16:15	m070		rc://*/ta/man/translate/figs-gendernotations	ἀνθρώποις	men	1	Here, Jesus is using the term **men** in a generic sense that includes all people. Alternate translation: “people”
16:15	m071		rc://*/ta/man/translate/translate-unknown	βδέλυγμα	is} an abomination	1	The term **abomination** comes from the regulations for religious life in the Jewish law. It refers to something that provokes feelings of horror and revulsion and must be avoided. Alternate translation: “is detestable”
16:15	m072		rc://*/ta/man/translate/figs-metaphor	ἐνώπιον τοῦ Θεοῦ	before God	1	Jesus is using this expression to mean “where God can see,” and it refers to perception and judgment. Alternate translation: “from God’s perspective”
16:16	m566		rc://*/ta/man/translate/figs-merism	ὁ νόμος καὶ οἱ προφῆται	The Law and the Prophets	1	Jesus is referring to all of God’s word that had been written up to that time. He is using the names of two of its major components to do so. Alternate translation: “The Scriptures”
16:16	a2ra			μέχρι	were} until	1	Alternate translation: “led up to the time of”
16:16	b78c		rc://*/ta/man/translate/figs-explicit	Ἰωάννου	John	1	Jesus assumes that the Pharisees will know that he is referring to **John** the Baptist. Alternate translation: “John the Baptist”
16:16	mrl3		rc://*/ta/man/translate/figs-activepassive	ἡ Βασιλεία τοῦ Θεοῦ εὐαγγελίζεται	the kingdom of God is proclaimed as good news	1	If it would be helpful in your language, you could express this with an active form, and you could state who has been doing the action. Alternate translation: “I have been teaching people the good news about the kingdom of God”
16:16	m073		rc://*/ta/man/translate/figs-abstractnouns	ἡ Βασιλεία τοῦ Θεοῦ	the kingdom of God	1	See how you decided to translate this phrase in [4:43](../04/43.md). If it would be helpful in your language, you could express the idea behind the abstract noun **kingdom** with a verb such as “rule.” Alternate translation: “how God will rule”
16:16	m074		rc://*/ta/man/translate/figs-hyperbole	πᾶς εἰς αὐτὴν βιάζεται	everyone is forcing their way into it	1	Jesus says that people have been **forcing their way** into the kingdom to mean that they have been doing everything they can to enter it. Alternate translation: “people have been doing everything they can to enter it”
16:16	lyw7		rc://*/ta/man/translate/figs-hyperbole	πᾶς	everyone	1	The term **everyone** is a generalization for emphasis. Alternate translation: “people”
16:17	stl8			εὐκοπώτερον δέ ἐστιν τὸν οὐρανὸν καὶ τὴν γῆν παρελθεῖν, ἢ τοῦ νόμου μίαν κερέαν πεσεῖν	But it is easier for heaven and earth to pass away than for one stroke of the law to fall	1	If it would be helpful in your language, you could state this contrast in the reverse order. Alternate translation: “Even the smallest detail of the law will remain valid for longer than the whole creation exists”
16:17	m075		rc://*/ta/man/translate/figs-merism	τὸν οὐρανὸν καὶ τὴν γῆν	heaven and earth	1	Jesus is describing all of creation by referring to its two components. Alternate translation: “all of creation”
16:17	m076			παρελθεῖν	to pass away	1	Alternate translation: “to go out of existence”
16:17	ke7y		rc://*/ta/man/translate/figs-metonymy	ἢ τοῦ νόμου μίαν κερέαν	than for one stroke of the law	1	A **stroke** is the smallest part of a letter. Jesus is referring to the teachings of the law by association with the way they have been recorded in written letters. Alternate translation: “than for any of the law”
16:17	t33k		rc://*/ta/man/translate/figs-metaphor	πεσεῖν	to fall	1	Jesus uses the term **fall** to mean to be of no further use, such as a building would be if it collapsed. Alternate translation: “to become invalid”
16:18	m077		rc://*/ta/man/translate/figs-explicit	πᾶς ὁ ἀπολύων τὴν γυναῖκα αὐτοῦ	Everyone divorcing his wife	1	Here Jesus is implicitly giving an example of something in the law that is still valid. Jesus assumes that his listeners will know that the Pharisees allowed divorce, and he is teaching that they should not do that. If it would be helpful to your readers, you could indicate this explicitly. Alternate translation: “For example, you Pharisees allow divorce. But that is not what God wants. Anyone who divorces his wife”
